filename,arm_name,intervention_type,screening,1_month,3_months,6_months,9_months,12_months,cycle_length,visit_pattern,error,publication_year
30738780 CT_Summary_SoE.pdf,Arm A (Radium-223 dichloride + abiraterone acetate + prednisone/prednisolone),intervention,2.0,3.0,7.0,10.0,13.0,17.0,28.0,"Cycles 1-3: Day 1 and Day 15; Cycles 4-6: Day 1 only; Cycle 7 onwards: Day 1 every 4 weeks. Imaging (CT/Bone Scan) occurs at C3D1, C5D1, C7D1, and then every 12 weeks.",,
30738780 CT_Summary_SoE.pdf,Arm B (Placebo + abiraterone acetate + prednisone/prednisolone),control,2.0,3.0,7.0,10.0,13.0,17.0,28.0,"Cycles 1-3: Day 1 and Day 15; Cycles 4-6: Day 1 only; Cycle 7 onwards: Day 1 every 4 weeks. Imaging (CT/Bone Scan) occurs at C3D1, C5D1, C7D1, and then every 12 weeks.",,
PIMD 27718847 a_Summary_SoE.pdf,Arm A (Pembrolizumab Monotherapy),intervention,2.0,4.0,7.0,11.0,15.0,20.0,21.0,Day 1 of each 21-day cycle.,,
PIMD 27718847 a_Summary_SoE.pdf,Arm B (Standard of Care Platinum-based Chemotherapy),control,2.0,6.0,11.0,16.0,20.0,25.0,21.0,Day 1 and Day 8 of each 21-day cycle (based on Gemcitabine/Cisplatin as the high-contact SOC regimen).,,
PMID 19213681 a_Summary_SoE.pdf,Arm A (Nolvadex alone),control,1.0,0.0,0.0,1.0,1.0,2.0,,"Oral daily medication; BMD scans at screening, 6 months, and 12 months.",,2009.0
PMID 19213681 a_Summary_SoE.pdf,Arm B (Nolvadex plus zoledronate),intervention,1.0,2.0,4.0,7.0,10.0,14.0,28.0,"Zoledronate i.v. injection every 4 weeks (q4w); BMD scans at screening, 6 months, and 12 months.",,2009.0
PMID 19213681 a_Summary_SoE.pdf,Arm C (Arimidex alone),intervention,1.0,0.0,0.0,1.0,1.0,2.0,,"Oral daily medication; BMD scans at screening, 6 months, and 12 months.",,2009.0
PMID 19213681 a_Summary_SoE.pdf,Arm D (Arimidex plus zoledronate),intervention,1.0,2.0,4.0,7.0,10.0,14.0,28.0,"Zoledronate i.v. injection every 4 weeks (q4w); BMD scans at screening, 6 months, and 12 months.",,2009.0
PMID 20525992 a_Summary_SoE.pdf,Arm A (Melanoma Peptide Vaccine Monotherapy),control,2.0,2.0,5.0,8.0,10.0,11.0,21.0,"Doses at Days 1, 22, 43, 64 (Induction); Restaging at Weeks 12, 16, 20, 24, 28, and then every 3 months thereafter.",,2010.0
PMID 20525992 a_Summary_SoE.pdf,Arm B (MDX-010 + Melanoma Peptide Vaccine),intervention,2.0,2.0,5.0,8.0,10.0,11.0,21.0,"Doses at Days 1, 22, 43, 64 (Induction); Restaging at Weeks 12, 16, 20, 24, 28, and then every 3 months thereafter.",,2010.0
PMID 20525992 a_Summary_SoE.pdf,Arm C (MDX-010 Monotherapy),intervention,2.0,2.0,5.0,8.0,10.0,11.0,21.0,"Doses at Days 1, 22, 43, 64 (Induction); Restaging at Weeks 12, 16, 20, 24, 28, and then every 3 months thereafter.",,2010.0
PMID 20525993 a_Summary_SoE.pdf,Arm A (Nilotinib 300 mg BID),intervention,1.0,4.0,6.0,9.0,10.0,11.0,28.0,"Cycle 1: Days 1, 8, 15, 28. Cycles 2-6: End of cycle (every 28 days). Cycles 9-60: Every 3 cycles (every 84 days).",,2010.0
PMID 20525993 a_Summary_SoE.pdf,Arm B (Nilotinib 400 mg BID),intervention,1.0,4.0,6.0,9.0,10.0,11.0,28.0,"Cycle 1: Days 1, 8, 15, 28. Cycles 2-6: End of cycle (every 28 days). Cycles 9-60: Every 3 cycles (every 84 days).",,2010.0
PMID 20525993 a_Summary_SoE.pdf,Arm C (Imatinib 400 mg QD),control,1.0,4.0,6.0,9.0,10.0,11.0,28.0,"Cycle 1: Days 1, 8, 15, 28. Cycles 2-6: End of cycle (every 28 days). Cycles 9-60: Every 3 cycles (every 84 days).",,2010.0
PMID 20525995 a_Summary_SoE.pdf,Dasatinib (100 mg daily),intervention,2.0,3.0,5.0,6.0,7.0,8.0,0.0,"Day 1, Weeks 2, 4, 6, then Months 3, 6, 9, 12",,2010.0
PMID 20525995 a_Summary_SoE.pdf,Imatinib (400 mg daily),control,2.0,3.0,5.0,6.0,7.0,8.0,0.0,"Day 1, Weeks 2, 4, 6, then Months 3, 6, 9, 12",,2010.0
PMID 20570559 CT a_Summary_SoE.pdf,Vandetanib + Docetaxel,intervention,1.0,1.0,5.0,9.0,13.0,18.0,21.0,Day 1 of each 21-day cycle.,,2010.0
PMID 20570559 CT a_Summary_SoE.pdf,Placebo + Docetaxel,control,1.0,1.0,5.0,9.0,13.0,18.0,21.0,Day 1 of each 21-day cycle.,,2010.0
PMID 20818862 a_Summary_SoE.pdf,Arm A (Sipuleucel-T),intervention,3.0,5.0,7.0,9.0,11.0,12.0,14.0,"Leukapheresis followed by infusion 2-3 days later at Weeks 0, 2, and 4. Follow-up visits for immune monitoring at Weeks 6, 14, and 26, plus serial imaging.",,2010.0
PMID 20818862 a_Summary_SoE.pdf,Arm B (Placebo),control,3.0,5.0,7.0,9.0,11.0,12.0,14.0,"Identical to treatment arm; placebo subjects undergo the same leukapheresis and infusion schedule at Weeks 0, 2, and 4.",,2010.0
PMID 20826719 a_Summary_SoE.pdf,Voriconazole,intervention,2.0,1.0,1.0,3.0,3.0,4.0,,"Screening (2 days), Day 0 (Transplant/Start), Day 100 (End of Prophylaxis), Day 180 (Follow-up), Day 365 (Follow-up).",,2010.0
PMID 20826719 a_Summary_SoE.pdf,Fluconazole,control,2.0,1.0,1.0,3.0,3.0,4.0,,"Screening (2 days), Day 0 (Transplant/Start), Day 100 (End of Prophylaxis), Day 180 (Follow-up), Day 365 (Follow-up).",,2010.0
PMID 21121833 a_Summary_SoE.pdf,Arm A (TAC),intervention,2.0,2.0,5.0,7.0,8.0,9.0,21.0,Day 1 of each 21-day cycle for 6 cycles; End of Treatment (EOT) visit 3-4 weeks after last dose; Follow-up visits every 12 weeks thereafter.,,2010.0
PMID 21121833 a_Summary_SoE.pdf,Arm B (FAC),control,2.0,2.0,5.0,7.0,8.0,9.0,21.0,Day 1 of each 21-day cycle for 6 cycles; End of Treatment (EOT) visit 3-4 weeks after last dose; Follow-up visits every 12 weeks thereafter.,,2010.0
PMID 21282542 CT_Summary_SoE.pdf,Arm A (ZD6474 / ZACTIMA),intervention,1.0,4.0,6.0,9.0,12.0,16.0,28.0,"Day 1, Day 8, Day 15, Day 29, then every 28 days (4 weeks) thereafter.",,2011.0
PMID 21282542 CT_Summary_SoE.pdf,Arm B (Erlotinib / TARCEVA),control,1.0,4.0,6.0,9.0,12.0,16.0,28.0,"Day 1, Day 8, Day 15, Day 29, then every 28 days (4 weeks) thereafter.",,2011.0
PMID 21306237 a_Summary_SoE.pdf,Arm A (Sunitinib),intervention,1.0,3.0,5.0,8.0,11.0,15.0,28.0,Screening (1 day); Month 1: Day 1 and Day 15; Subsequent Months: Day 1 every 28 days.,,2011.0
