filename,arm_name,intervention_type,screening,1_month,3_months,6_months,9_months,12_months,cycle_length,visit_pattern,error
PMID 23358972_Summary_SoE.pdf,Arm A (FOLFIRI + sunitinib),intervention,2,5,9,15,22,29,42,"Cycle 1: Days 1, 8, 15, 22, 29. Subsequent cycles: Days 1, 15, 29.",
PMID 23358972_Summary_SoE.pdf,Arm B (FOLFIRI + placebo),control,2,5,9,15,22,29,42,"Cycle 1: Days 1, 8, 15, 22, 29. Subsequent cycles: Days 1, 15, 29.",
PMID 23940216 a_Summary_SoE.pdf,Arm A (Cediranib 30 mg monotherapy),intervention,1,2,3,5,7,10,42,"V1 (Screening), V2 (Day 1), V5 (Week 3), V8 (Week 6), then every 6 weeks (V10 Onward).",
PMID 23940216 a_Summary_SoE.pdf,Arm B (Cediranib 20 mg + Lomustine),intervention,1,5,8,10,12,15,42,"Weekly for first 6 weeks (V2-V8), then Week 9 (V9), then every 6 weeks (V10 Onward).",
PMID 23940216 a_Summary_SoE.pdf,Arm C (Placebo + Lomustine),control,1,5,8,10,12,15,42,"Weekly for first 6 weeks (V2-V8), then Week 9 (V9), then every 6 weeks (V10 Onward).",
PMID 27264120 a_Summary_SoE.pdf,Arm 1 (Letrozole),intervention,1,0,0,1,1,2,1,"Screening (Prestudy), Month 6, and Month 12 clinic visits.",
PMID 27264120 a_Summary_SoE.pdf,Arm 2 (Placebo),control,1,0,0,1,1,2,1,"Screening (Prestudy), Month 6, and Month 12 clinic visits.",
PMID 27569442 CT_Summary_SoE.pdf,MAP (Control),control,2,12,29,58,72,74,35,"Induction: 2 days for Doxo/Cis, 1 day for MTX + 1 day Leucovorin rescue, plus twice-weekly labs after Doxo/Cis and weekly labs after MTX. Post-op: Similar pattern for 4 cycles.",
PMID 27569442 CT_Summary_SoE.pdf,MAPifn (MAP + Pegylated Interferon alfa-2b),intervention,2,12,29,58,81,93,35,"Same as MAP for first 29 weeks. Starting Week 30: Weekly SubQ interferon injections. Labs weekly for first 8 weeks of IFN, then monthly.",
PMID 27569442 CT_Summary_SoE.pdf,MAPIE (MAP + Ifosfamide and Etoposide),intervention,2,12,29,64,98,105,28,"Induction same as MAP. Post-op: MAPIE cycles involve 5 consecutive days of Ifosfamide/Etoposide infusions, plus MTX days and associated lab monitoring.",
PMID 30177994 a_Summary_SoE.pdf,,,,,,,,,,,Failed to parse JSON
PMID 30516102 a_Summary_SoE.pdf,Arm A (Trastuzumab emtansine),intervention,1,4,8,13,18,22,21,"Day 1 of each 21-day cycle for 14 cycles. Additional mid-cycle visits for PK (C1D8) and ECHO (C2, C6, C10, C14).",
PMID 30516102 a_Summary_SoE.pdf,Arm B (Trastuzumab),control,1,4,8,13,18,22,21,"Day 1 of each 21-day cycle for 14 cycles. Additional mid-cycle visits for PK (C1D8) and ECHO (C2, C6, C10, C14).",
PMID 31327689 CT_Summary_SoE.pdf,Arm A (Pembrolizumab + Lenalidomide + Dexamethasone),intervention,1,3,7,13,19,27,28,Pembrolizumab Q3W (every 21 days) overlaid on Lenalidomide/Dexamethasone Q4W (28-day cycles).,
PMID 31327689 CT_Summary_SoE.pdf,Arm B (Lenalidomide + Dexamethasone),control,1,2,4,7,10,14,28,One clinic visit per month on Day 1 of each 28-day cycle for drug dispensing and safety assessments.,
PMID 31821109 a_Summary_SoE.pdf,Arm 1 (Chemotherapy alone),control,2,2,5,16,17,18,21,AC cycles every 3 weeks (4 cycles) followed by weekly paclitaxel (12 doses).,
PMID 31821109 a_Summary_SoE.pdf,Arm 2 (Chemotherapy plus Trastuzumab),intervention,2,2,5,16,21,26,21,"AC cycles every 3 weeks (4 cycles) followed by weekly paclitaxel + trastuzumab (12 doses), then trastuzumab maintenance every 3 weeks.",
PMID 34087126 b_Summary_SoE.pdf,Arm A (Daratumumab plus pomalidomide and dexamethasone),intervention,1,5,11,17,20,24,28,"Cycles 1-2: Days 1, 8, 15, 22; Cycles 3-6: Days 1, 15; Cycles 7+: Day 1",
PMID 34087126 b_Summary_SoE.pdf,Arm B (Pomalidomide and dexamethasone),control,1,5,11,17,20,24,28,"Cycles 1-2: Days 1, 8, 15, 22; Cycles 3-6: Days 1, 15; Cycles 7+: Day 1",
PMID 34110925 a_Summary_SoE.pdf,Standard-Risk Medulloblastoma (All Arms),intervention,3,22,35,41,50,58,42,"Daily radiation (5 days/week) for 6 weeks; Maintenance Regimen A (6-week cycles) visits on Days 1, 8, 15; Maintenance Regimen B (4-week cycles) visits on Days 1, 2, 8.",
PMID 34874182 CT_Summary_SoE.pdf,Arm A (Palbociclib + Standard Adjuvant Endocrine Therapy),intervention,1,3,5,6,7,8,28,"C1D1, C1D14 (Labs only), C2D1, C2D14 (Labs only), C3D1, then every 3 cycles (C6D1, C9D1, C12D1, etc.)",
PMID 34874182 CT_Summary_SoE.pdf,Arm B (Standard Adjuvant Endocrine Therapy Alone),control,1,2,3,4,5,6,28,"C1D1, C2D1, C3D1, then every 3 cycles (C6D1, C9D1, C12D1, etc.)",
PMID 35660812 a_Summary_SoE.pdf,Arm A (Conventional RVD + Lenalidomide Maintenance),control,2,7,16,33,45,50,21,"RVD cycles (1-8): Days 1, 4, 8, 11. Maintenance: Day 1 of 28-day cycles, with weekly labs in first 2 months and biweekly in months 3-4.",
PMID 35660812 a_Summary_SoE.pdf,Arm B (High-Dose RVD + PBSCT + Lenalidomide Maintenance),intervention,2,7,17,40,54,59,21,"RVD cycles (1-3, 4-5): Days 1, 4, 8, 11. PBSCT: 21-day inpatient period. Maintenance: Day 1 of 28-day cycles, with weekly labs in first 2 months and biweekly in months 3-4.",
PMID 35665782 CT_Summary_SoE.pdf,Arm A (Trastuzumab deruxtecan - T-DXd),intervention,2,4,7,11,15,20,21,"Cycle 1: Days 1, 8, 15; Cycle 2+: Day 1 only.",
PMID 35665782 CT_Summary_SoE.pdf,Arm B (Physician's Choice Treatment - TPC),control,2,4,7,11,15,20,21,"Cycle 1: Days 1, 8, 15; Cycle 2+: Day 1 only.",
PMID 35704479 a_Summary_SoE.pdf,Group 1: Active Monitoring Arm,control,1,1,1,2,2,3,180,"Screening (Visit 0), Randomization (Visit 1), then every 6 months (Visits 2-11).",
