category,nct,pmid,pubmed_url,ctgov_url,design_summary,arm_name,tt_12mo,pipeline_label,ctgov_type,ctgov_label,pubmed_designation,pubmed_evidence,current_final_label,this_arm_unresolved,HUMAN_DECISION (intervention/control/exclude),HUMAN_NOTES,abstract_full
A: head-to-head (no control in abstract),NCT00075816,23075175,https://pubmed.ncbi.nlm.nih.gov/23075175,https://clinicaltrials.gov/study/NCT00075816,Phase 3 head-to-head comparison of peripheral-blood stem-cell versus bone marrow transplantation from unrelated donors. Direct comparison of two graft sources with no designated standard-of-care or control arm.,Arm B (Marrow Transplantation),29.0,control,ACTIVE_COMPARATOR,control,unresolved,,control,True,,,"1. N Engl J Med. 2012 Oct 18;367(16):1487-96. doi: 10.1056/NEJMoa1203517.

Peripheral-blood stem cells versus bone marrow from unrelated donors.

and Marrow Transplant Clinical Trials Network.

BACKGROUND: Randomized trials have shown that the transplantation of 
filgrastim-mobilized peripheral-blood stem cells from HLA-identical siblings 
accelerates engraftment but increases the risks of acute and chronic 
graft-versus-host disease (GVHD), as compared with the transplantation of bone 
marrow. Some studies have also shown that peripheral-blood stem cells are 
associated with a decreased rate of relapse and improved survival among 
recipients with high-risk leukemia.
METHODS: We conducted a phase 3, multicenter, randomized trial of 
transplantation of peripheral-blood stem cells versus bone marrow from unrelated 
donors to compare 2-year survival probabilities with the use of an 
intention-to-treat analysis. Between March 2004 and September 2009, we enrolled 
551 patients at 48 centers. Patients were randomly assigned in a 1:1 ratio to 
peripheral-blood stem-cell or bone marrow transplantation, stratified according 
to transplantation center and disease risk. The median follow-up of surviving 
patients was 36 months (interquartile range, 30 to 37).
RESULTS: The overall survival rate at 2 years in the peripheral-blood group was 
51% (95% confidence interval [CI], 45 to 57), as compared with 46% (95% CI, 40 
to 52) in the bone marrow group (P=0.29), with an absolute difference of 5 
percentage points (95% CI, -3 to 14). The overall incidence of graft failure in 
the peripheral-blood group was 3% (95% CI, 1 to 5), versus 9% (95% CI, 6 to 13) 
in the bone marrow group (P=0.002). The incidence of chronic GVHD at 2 years in 
the peripheral-blood group was 53% (95% CI, 45 to 61), as compared with 41% (95% 
CI, 34 to 48) in the bone marrow group (P=0.01). There were no significant 
between-group differences in the incidence of acute GVHD or relapse.
CONCLUSIONS: We did not detect significant survival differences between 
peripheral-blood stem-cell and bone marrow transplantation from unrelated 
donors. Exploratory analyses of secondary end points indicated that 
peripheral-blood stem cells may reduce the risk of graft failure, whereas bone 
marrow may reduce the risk of chronic GVHD. (Funded by the National Heart, Lung, 
and Blood Institute-National Cancer Institute and others; ClinicalTrials.gov 
number, NCT00075816.)."
A: head-to-head (no control in abstract),NCT00075816,23075175,https://pubmed.ncbi.nlm.nih.gov/23075175,https://clinicaltrials.gov/study/NCT00075816,Phase 3 head-to-head comparison of peripheral-blood stem-cell versus bone marrow transplantation from unrelated donors. Direct comparison of two graft sources with no designated standard-of-care or control arm.,Arm A (PBSC Transplantation),29.0,intervention,ACTIVE_COMPARATOR,control,unresolved,,intervention,True,,,"1. N Engl J Med. 2012 Oct 18;367(16):1487-96. doi: 10.1056/NEJMoa1203517.

Peripheral-blood stem cells versus bone marrow from unrelated donors.

and Marrow Transplant Clinical Trials Network.

BACKGROUND: Randomized trials have shown that the transplantation of 
filgrastim-mobilized peripheral-blood stem cells from HLA-identical siblings 
accelerates engraftment but increases the risks of acute and chronic 
graft-versus-host disease (GVHD), as compared with the transplantation of bone 
marrow. Some studies have also shown that peripheral-blood stem cells are 
associated with a decreased rate of relapse and improved survival among 
recipients with high-risk leukemia.
METHODS: We conducted a phase 3, multicenter, randomized trial of 
transplantation of peripheral-blood stem cells versus bone marrow from unrelated 
donors to compare 2-year survival probabilities with the use of an 
intention-to-treat analysis. Between March 2004 and September 2009, we enrolled 
551 patients at 48 centers. Patients were randomly assigned in a 1:1 ratio to 
peripheral-blood stem-cell or bone marrow transplantation, stratified according 
to transplantation center and disease risk. The median follow-up of surviving 
patients was 36 months (interquartile range, 30 to 37).
RESULTS: The overall survival rate at 2 years in the peripheral-blood group was 
51% (95% confidence interval [CI], 45 to 57), as compared with 46% (95% CI, 40 
to 52) in the bone marrow group (P=0.29), with an absolute difference of 5 
percentage points (95% CI, -3 to 14). The overall incidence of graft failure in 
the peripheral-blood group was 3% (95% CI, 1 to 5), versus 9% (95% CI, 6 to 13) 
in the bone marrow group (P=0.002). The incidence of chronic GVHD at 2 years in 
the peripheral-blood group was 53% (95% CI, 45 to 61), as compared with 41% (95% 
CI, 34 to 48) in the bone marrow group (P=0.01). There were no significant 
between-group differences in the incidence of acute GVHD or relapse.
CONCLUSIONS: We did not detect significant survival differences between 
peripheral-blood stem-cell and bone marrow transplantation from unrelated 
donors. Exploratory analyses of secondary end points indicated that 
peripheral-blood stem cells may reduce the risk of graft failure, whereas bone 
marrow may reduce the risk of chronic GVHD. (Funded by the National Heart, Lung, 
and Blood Institute-National Cancer Institute and others; ClinicalTrials.gov 
number, NCT00075816.)."
A: head-to-head (no control in abstract),NCT00127205,31693129,https://pubmed.ncbi.nlm.nih.gov/31693129,https://clinicaltrials.gov/study/NCT00127205,"S0307 phase III adjuvant breast cancer trial comparing three bisphosphonates head-to-head (intravenous zoledronic acid vs oral clodronate vs oral ibandronate); no designated standard comparator arm, so arm roles are not assignable.",Arm 2 (Clodronate),8.0,control,ACTIVE_COMPARATOR,control,unresolved,,control,True,,,"19. J Natl Cancer Inst. 2020 Jul 1;112(7):698-707. doi: 10.1093/jnci/djz215.

Phase III Randomized Trial of Bisphosphonates as Adjuvant Therapy in Breast 
Cancer: S0307.

RB(17), Hortobagyi GN(18).

BACKGROUND: Adjuvant bisphosphonates, when given in a low-estrogen environment, 
can decrease breast cancer recurrence and death. Treatment guidelines include 
recommendations for adjuvant bisphosphonates in postmenopausal patients. 
SWOG/Alliance/Canadian Cancer Trials Group/ECOG-ACRIN/NRG Oncology study S0307 
compared the efficacy of three bisphosphonates in early-stage breast cancer.
METHODS: Patients with stage I-III breast cancer were randomly assigned to 
3 years of intravenous zoledronic acid, oral clodronate, or oral ibandronate. 
The primary endpoint was disease-free survival (DFS) with overall survival as a 
secondary outcome. All statistical tests were two-sided.
RESULTS: A total of 6097 patients enrolled. Median age was 52.7 years. Prior to 
being randomly assigned, 73.2% patients indicated preference for oral vs 
intravenous formulation. DFS did not differ across arms in a log-rank test 
(P = .49); 5-year DFS was 88.3% (zoledronic acid: 95% confidence interval [CI] = 
86.9% to 89.6%), 87.6% (clodronate: 95% CI = 86.1% to 88.9%), and 87.4% 
(ibandronate: 95% CI = 85.6% to 88.9%). Additionally, 5-year overall survival 
did not differ between arms (log rank P = .50) and was 92.6% (zoledronic acid: 
95% CI = 91.4% to 93.6%), 92.4% (clodronate: 95% CI = 91.2% to 93.5%), and 92.9% 
(ibandronate: 95% CI = 91.5% to 94.1%). Bone as first site of recurrence did not 
differ between arms (P = .93). Analyses based on age and tumor subtypes showed 
no treatment differences. Grade 3/4 toxicity was 8.8% (zoledronic acid), 8.3% 
(clodronate), and 10.5% (ibandronate). Osteonecrosis of the jaw was highest for 
zoledronic acid (1.26%) compared with clodronate (0.36%) and ibandronate 
(0.77%).
CONCLUSIONS: We found no evidence of differences in efficacy by type of 
bisphosphonate, either in overall analysis or subgroups. Despite an increased 
rate of osteonecrosis of the jaw with zoledronic acid, overall toxicity grade 
differed little across arms. Given that patients expressed preference for oral 
formulation, efforts to make oral agents available in the United States should 
be considered."
A: head-to-head (no control in abstract),NCT00127205,31693129,https://pubmed.ncbi.nlm.nih.gov/31693129,https://clinicaltrials.gov/study/NCT00127205,"S0307 phase III adjuvant breast cancer trial comparing three bisphosphonates head-to-head (intravenous zoledronic acid vs oral clodronate vs oral ibandronate); no designated standard comparator arm, so arm roles are not assignable.",Arm 1 (Zoledronic Acid),8.0,intervention,EXPERIMENTAL,intervention,unresolved,,intervention,True,,,"19. J Natl Cancer Inst. 2020 Jul 1;112(7):698-707. doi: 10.1093/jnci/djz215.

Phase III Randomized Trial of Bisphosphonates as Adjuvant Therapy in Breast 
Cancer: S0307.

RB(17), Hortobagyi GN(18).

BACKGROUND: Adjuvant bisphosphonates, when given in a low-estrogen environment, 
can decrease breast cancer recurrence and death. Treatment guidelines include 
recommendations for adjuvant bisphosphonates in postmenopausal patients. 
SWOG/Alliance/Canadian Cancer Trials Group/ECOG-ACRIN/NRG Oncology study S0307 
compared the efficacy of three bisphosphonates in early-stage breast cancer.
METHODS: Patients with stage I-III breast cancer were randomly assigned to 
3 years of intravenous zoledronic acid, oral clodronate, or oral ibandronate. 
The primary endpoint was disease-free survival (DFS) with overall survival as a 
secondary outcome. All statistical tests were two-sided.
RESULTS: A total of 6097 patients enrolled. Median age was 52.7 years. Prior to 
being randomly assigned, 73.2% patients indicated preference for oral vs 
intravenous formulation. DFS did not differ across arms in a log-rank test 
(P = .49); 5-year DFS was 88.3% (zoledronic acid: 95% confidence interval [CI] = 
86.9% to 89.6%), 87.6% (clodronate: 95% CI = 86.1% to 88.9%), and 87.4% 
(ibandronate: 95% CI = 85.6% to 88.9%). Additionally, 5-year overall survival 
did not differ between arms (log rank P = .50) and was 92.6% (zoledronic acid: 
95% CI = 91.4% to 93.6%), 92.4% (clodronate: 95% CI = 91.2% to 93.5%), and 92.9% 
(ibandronate: 95% CI = 91.5% to 94.1%). Bone as first site of recurrence did not 
differ between arms (P = .93). Analyses based on age and tumor subtypes showed 
no treatment differences. Grade 3/4 toxicity was 8.8% (zoledronic acid), 8.3% 
(clodronate), and 10.5% (ibandronate). Osteonecrosis of the jaw was highest for 
zoledronic acid (1.26%) compared with clodronate (0.36%) and ibandronate 
(0.77%).
CONCLUSIONS: We found no evidence of differences in efficacy by type of 
bisphosphonate, either in overall analysis or subgroups. Despite an increased 
rate of osteonecrosis of the jaw with zoledronic acid, overall toxicity grade 
differed little across arms. Given that patients expressed preference for oral 
formulation, efforts to make oral agents available in the United States should 
be considered."
A: head-to-head (no control in abstract),NCT00127205,31693129,https://pubmed.ncbi.nlm.nih.gov/31693129,https://clinicaltrials.gov/study/NCT00127205,"S0307 phase III adjuvant breast cancer trial comparing three bisphosphonates head-to-head (intravenous zoledronic acid vs oral clodronate vs oral ibandronate); no designated standard comparator arm, so arm roles are not assignable.",Arm 3 (Ibandronate),8.0,intervention,EXPERIMENTAL,intervention,unresolved,,intervention,True,,,"19. J Natl Cancer Inst. 2020 Jul 1;112(7):698-707. doi: 10.1093/jnci/djz215.

Phase III Randomized Trial of Bisphosphonates as Adjuvant Therapy in Breast 
Cancer: S0307.

RB(17), Hortobagyi GN(18).

BACKGROUND: Adjuvant bisphosphonates, when given in a low-estrogen environment, 
can decrease breast cancer recurrence and death. Treatment guidelines include 
recommendations for adjuvant bisphosphonates in postmenopausal patients. 
SWOG/Alliance/Canadian Cancer Trials Group/ECOG-ACRIN/NRG Oncology study S0307 
compared the efficacy of three bisphosphonates in early-stage breast cancer.
METHODS: Patients with stage I-III breast cancer were randomly assigned to 
3 years of intravenous zoledronic acid, oral clodronate, or oral ibandronate. 
The primary endpoint was disease-free survival (DFS) with overall survival as a 
secondary outcome. All statistical tests were two-sided.
RESULTS: A total of 6097 patients enrolled. Median age was 52.7 years. Prior to 
being randomly assigned, 73.2% patients indicated preference for oral vs 
intravenous formulation. DFS did not differ across arms in a log-rank test 
(P = .49); 5-year DFS was 88.3% (zoledronic acid: 95% confidence interval [CI] = 
86.9% to 89.6%), 87.6% (clodronate: 95% CI = 86.1% to 88.9%), and 87.4% 
(ibandronate: 95% CI = 85.6% to 88.9%). Additionally, 5-year overall survival 
did not differ between arms (log rank P = .50) and was 92.6% (zoledronic acid: 
95% CI = 91.4% to 93.6%), 92.4% (clodronate: 95% CI = 91.2% to 93.5%), and 92.9% 
(ibandronate: 95% CI = 91.5% to 94.1%). Bone as first site of recurrence did not 
differ between arms (P = .93). Analyses based on age and tumor subtypes showed 
no treatment differences. Grade 3/4 toxicity was 8.8% (zoledronic acid), 8.3% 
(clodronate), and 10.5% (ibandronate). Osteonecrosis of the jaw was highest for 
zoledronic acid (1.26%) compared with clodronate (0.36%) and ibandronate 
(0.77%).
CONCLUSIONS: We found no evidence of differences in efficacy by type of 
bisphosphonate, either in overall analysis or subgroups. Despite an increased 
rate of osteonecrosis of the jaw with zoledronic acid, overall toxicity grade 
differed little across arms. Given that patients expressed preference for oral 
formulation, efforts to make oral agents available in the United States should 
be considered."
A: head-to-head (no control in abstract),NCT00127205,31693129,https://pubmed.ncbi.nlm.nih.gov/31693129,https://clinicaltrials.gov/study/NCT00127205,"S0307 phase III adjuvant breast cancer trial comparing three bisphosphonates head-to-head (intravenous zoledronic acid vs oral clodronate vs oral ibandronate); no designated standard comparator arm, so arm roles are not assignable.",Arm 3 (Ibandronate),8.0,intervention,,intervention,unresolved,,intervention,True,,,"19. J Natl Cancer Inst. 2020 Jul 1;112(7):698-707. doi: 10.1093/jnci/djz215.

Phase III Randomized Trial of Bisphosphonates as Adjuvant Therapy in Breast 
Cancer: S0307.

RB(17), Hortobagyi GN(18).

BACKGROUND: Adjuvant bisphosphonates, when given in a low-estrogen environment, 
can decrease breast cancer recurrence and death. Treatment guidelines include 
recommendations for adjuvant bisphosphonates in postmenopausal patients. 
SWOG/Alliance/Canadian Cancer Trials Group/ECOG-ACRIN/NRG Oncology study S0307 
compared the efficacy of three bisphosphonates in early-stage breast cancer.
METHODS: Patients with stage I-III breast cancer were randomly assigned to 
3 years of intravenous zoledronic acid, oral clodronate, or oral ibandronate. 
The primary endpoint was disease-free survival (DFS) with overall survival as a 
secondary outcome. All statistical tests were two-sided.
RESULTS: A total of 6097 patients enrolled. Median age was 52.7 years. Prior to 
being randomly assigned, 73.2% patients indicated preference for oral vs 
intravenous formulation. DFS did not differ across arms in a log-rank test 
(P = .49); 5-year DFS was 88.3% (zoledronic acid: 95% confidence interval [CI] = 
86.9% to 89.6%), 87.6% (clodronate: 95% CI = 86.1% to 88.9%), and 87.4% 
(ibandronate: 95% CI = 85.6% to 88.9%). Additionally, 5-year overall survival 
did not differ between arms (log rank P = .50) and was 92.6% (zoledronic acid: 
95% CI = 91.4% to 93.6%), 92.4% (clodronate: 95% CI = 91.2% to 93.5%), and 92.9% 
(ibandronate: 95% CI = 91.5% to 94.1%). Bone as first site of recurrence did not 
differ between arms (P = .93). Analyses based on age and tumor subtypes showed 
no treatment differences. Grade 3/4 toxicity was 8.8% (zoledronic acid), 8.3% 
(clodronate), and 10.5% (ibandronate). Osteonecrosis of the jaw was highest for 
zoledronic acid (1.26%) compared with clodronate (0.36%) and ibandronate 
(0.77%).
CONCLUSIONS: We found no evidence of differences in efficacy by type of 
bisphosphonate, either in overall analysis or subgroups. Despite an increased 
rate of osteonecrosis of the jaw with zoledronic acid, overall toxicity grade 
differed little across arms. Given that patients expressed preference for oral 
formulation, efforts to make oral agents available in the United States should 
be considered."
A: head-to-head (no control in abstract),NCT00265850,28632865,https://pubmed.ncbi.nlm.nih.gov/28632865,https://clinicaltrials.gov/study/NCT00265850,"CALGB/SWOG 80405: KRAS wild-type metastatic colorectal cancer, first-line FOLFOX/FOLFIRI randomized to cetuximab versus bevacizumab. Pure head-to-head of two biologics with no significant survival difference and no designated standard-of-care or control arm.",Arm A (Bevacizumab + FOLFOX/FOLFIRI),27.0,control,ACTIVE_COMPARATOR,control,unresolved,,control,True,,,"2. JAMA. 2017 Jun 20;317(23):2392-2401. doi: 10.1001/jama.2017.7105.

Effect of First-Line Chemotherapy Combined With Cetuximab or Bevacizumab on 
Overall Survival in Patients With KRAS Wild-Type Advanced or Metastatic 
Colorectal Cancer: A Randomized Clinical Trial.

Mulkerin DL(18), Mayer RJ(6), Blanke C(19).

IMPORTANCE: Combining biologic monoclonal antibodies with chemotherapeutic 
cytotoxic drugs provides clinical benefit to patients with advanced or 
metastatic colorectal cancer, but the optimal choice of the initial biologic 
therapy in previously untreated patients is unknown.
OBJECTIVE: To determine if the addition of cetuximab vs bevacizumab to the 
combination of leucovorin, fluorouracil, and oxaliplatin (mFOLFOX6) regimen or 
the combination of leucovorin, fluorouracil, and irinotecan (FOLFIRI) regimen is 
superior as first-line therapy in advanced or metastatic KRAS wild-type (wt) 
colorectal cancer.
DESIGN, SETTING, AND PARTICIPANTS: Patients (≥18 years) enrolled at community 
and academic centers throughout the National Clinical Trials Network in the 
United States and Canada (November 2005-March 2012) with previously untreated 
advanced or metastatic colorectal cancer whose tumors were KRAS wt chose to take 
either the mFOLFOX6 regimen or the FOLFIRI regimen as chemotherapy and were 
randomized to receive either cetuximab (n = 578) or bevacizumab (n = 559). The 
last date of follow-up was December 15, 2015.
INTERVENTIONS: Cetuximab vs bevacizumab combined with either mFOLFOX6 or FOLFIRI 
chemotherapy regimen chosen by the treating physician and patient.
MAIN OUTCOMES AND MEASURES: The primary end point was overall survival. 
Secondary objectives included progression-free survival and overall response 
rate, site-reported confirmed or unconfirmed complete or partial response.
RESULTS: Among 1137 patients (median age, 59 years; 440 [39%] women), 1074 (94%) 
of patients met eligibility criteria. As of December 15, 2015, median follow-up 
for 263 surviving patients was 47.4 months (range, 0-110.7 months), and 82% of 
patients (938 of 1137) experienced disease progression. The median overall 
survival was 30.0 months in the cetuximab-chemotherapy group and 29.0 months in 
the bevacizumab-chemotherapy group with a stratified hazard ratio (HR) of 0.88 
(95% CI, 0.77-1.01; P = .08). The median progression-free survival was 10.5 
months in the cetuximab-chemotherapy group and 10.6 months in the 
bevacizumab-chemotherapy group with a stratified HR of 0.95 (95% CI, 0.84-1.08; 
P = .45). Response rates were not significantly different, 59.6% vs 55.2% for 
P = .13).
CONCLUSIONS AND RELEVANCE: Among patients with KRAS wt untreated advanced or 
metastatic colorectal cancer, there was no significant difference in overall 
survival between the addition of cetuximab vs bevacizumab to chemotherapy as 
initial biologic treatment.
TRIAL REGISTRATION: clinicaltrials.gov identifier: NCT00265850."
A: head-to-head (no control in abstract),NCT00265850,28632865,https://pubmed.ncbi.nlm.nih.gov/28632865,https://clinicaltrials.gov/study/NCT00265850,"CALGB/SWOG 80405: KRAS wild-type metastatic colorectal cancer, first-line FOLFOX/FOLFIRI randomized to cetuximab versus bevacizumab. Pure head-to-head of two biologics with no significant survival difference and no designated standard-of-care or control arm.",Arm B (Cetuximab + FOLFOX/FOLFIRI),53.0,intervention,EXPERIMENTAL,intervention,unresolved,,intervention,True,,,"2. JAMA. 2017 Jun 20;317(23):2392-2401. doi: 10.1001/jama.2017.7105.

Effect of First-Line Chemotherapy Combined With Cetuximab or Bevacizumab on 
Overall Survival in Patients With KRAS Wild-Type Advanced or Metastatic 
Colorectal Cancer: A Randomized Clinical Trial.

Mulkerin DL(18), Mayer RJ(6), Blanke C(19).

IMPORTANCE: Combining biologic monoclonal antibodies with chemotherapeutic 
cytotoxic drugs provides clinical benefit to patients with advanced or 
metastatic colorectal cancer, but the optimal choice of the initial biologic 
therapy in previously untreated patients is unknown.
OBJECTIVE: To determine if the addition of cetuximab vs bevacizumab to the 
combination of leucovorin, fluorouracil, and oxaliplatin (mFOLFOX6) regimen or 
the combination of leucovorin, fluorouracil, and irinotecan (FOLFIRI) regimen is 
superior as first-line therapy in advanced or metastatic KRAS wild-type (wt) 
colorectal cancer.
DESIGN, SETTING, AND PARTICIPANTS: Patients (≥18 years) enrolled at community 
and academic centers throughout the National Clinical Trials Network in the 
United States and Canada (November 2005-March 2012) with previously untreated 
advanced or metastatic colorectal cancer whose tumors were KRAS wt chose to take 
either the mFOLFOX6 regimen or the FOLFIRI regimen as chemotherapy and were 
randomized to receive either cetuximab (n = 578) or bevacizumab (n = 559). The 
last date of follow-up was December 15, 2015.
INTERVENTIONS: Cetuximab vs bevacizumab combined with either mFOLFOX6 or FOLFIRI 
chemotherapy regimen chosen by the treating physician and patient.
MAIN OUTCOMES AND MEASURES: The primary end point was overall survival. 
Secondary objectives included progression-free survival and overall response 
rate, site-reported confirmed or unconfirmed complete or partial response.
RESULTS: Among 1137 patients (median age, 59 years; 440 [39%] women), 1074 (94%) 
of patients met eligibility criteria. As of December 15, 2015, median follow-up 
for 263 surviving patients was 47.4 months (range, 0-110.7 months), and 82% of 
patients (938 of 1137) experienced disease progression. The median overall 
survival was 30.0 months in the cetuximab-chemotherapy group and 29.0 months in 
the bevacizumab-chemotherapy group with a stratified hazard ratio (HR) of 0.88 
(95% CI, 0.77-1.01; P = .08). The median progression-free survival was 10.5 
months in the cetuximab-chemotherapy group and 10.6 months in the 
bevacizumab-chemotherapy group with a stratified HR of 0.95 (95% CI, 0.84-1.08; 
P = .45). Response rates were not significantly different, 59.6% vs 55.2% for 
P = .13).
CONCLUSIONS AND RELEVANCE: Among patients with KRAS wt untreated advanced or 
metastatic colorectal cancer, there was no significant difference in overall 
survival between the addition of cetuximab vs bevacizumab to chemotherapy as 
initial biologic treatment.
TRIAL REGISTRATION: clinicaltrials.gov identifier: NCT00265850."
A: head-to-head (no control in abstract),NCT00310180,26412349,https://pubmed.ncbi.nlm.nih.gov/26412349,https://clinicaltrials.gov/study/NCT00310180,TAILORx 21-gene assay validation. This abstract reports only the recurrence-score 0-10 cohort assigned to endocrine therapy alone without chemotherapy; it is a single observational arm with no chemotherapy-comparator results and no designated intervention/control roles.,Arm B (Hormonal Therapy Alone),4.0,control,EXPERIMENTAL,intervention,unresolved,,control,True,,,"3. N Engl J Med. 2015 Nov 19;373(21):2005-14. doi: 10.1056/NEJMoa1510764. Epub
2015  Sep 27.

Prospective Validation of a 21-Gene Expression Assay in Breast Cancer.

VG, Atkins JN, Berenberg JL, Sledge GW.

BACKGROUND: Prior studies with the use of a prospective-retrospective design 
including archival tumor samples have shown that gene-expression assays provide 
clinically useful prognostic information. However, a prospectively conducted 
study in a uniformly treated population provides the highest level of evidence 
supporting the clinical validity and usefulness of a biomarker.
METHODS: We performed a prospective trial involving women with 
hormone-receptor-positive, human epidermal growth factor receptor type 2 
(HER2)-negative, axillary node-negative breast cancer with tumors of 1.1 to 5.0 
cm in the greatest dimension (or 0.6 to 1.0 cm in the greatest dimension and 
intermediate or high tumor grade) who met established guidelines for the 
consideration of adjuvant chemotherapy on the basis of clinicopathologic 
features. A reverse-transcriptase-polymerase-chain-reaction assay of 21 genes 
was performed on the paraffin-embedded tumor tissue, and the results were used 
to calculate a score indicating the risk of breast-cancer recurrence; patients 
were assigned to receive endocrine therapy without chemotherapy if they had a 
recurrence score of 0 to 10, indicating a very low risk of recurrence (on a 
scale of 0 to 100, with higher scores indicating a greater risk of recurrence).
RESULTS: Of the 10,253 eligible women enrolled, 1626 women (15.9%) who had a 
recurrence score of 0 to 10 were assigned to receive endocrine therapy alone 
without chemotherapy. At 5 years, in this patient population, the rate of 
invasive disease-free survival was 93.8% (95% confidence interval [CI], 92.4 to 
94.9), the rate of freedom from recurrence of breast cancer at a distant site 
was 99.3% (95% CI, 98.7 to 99.6), the rate of freedom from recurrence of breast 
cancer at a distant or local-regional site was 98.7% (95% CI, 97.9 to 99.2), and 
the rate of overall survival was 98.0% (95% CI, 97.1 to 98.6).
CONCLUSIONS: Among patients with hormone-receptor-positive, HER2-negative, 
axillary node-negative breast cancer who met established guidelines for the 
recommendation of adjuvant chemotherapy on the basis of clinicopathologic 
features, those with tumors that had a favorable gene-expression profile had 
very low rates of recurrence at 5 years with endocrine therapy alone. (Funded by 
the National Cancer Institute and others; ClinicalTrials.gov number, 
NCT00310180.)."
A: head-to-head (no control in abstract),NCT00310180,26412349,https://pubmed.ncbi.nlm.nih.gov/26412349,https://clinicaltrials.gov/study/NCT00310180,TAILORx 21-gene assay validation. This abstract reports only the recurrence-score 0-10 cohort assigned to endocrine therapy alone without chemotherapy; it is a single observational arm with no chemotherapy-comparator results and no designated intervention/control roles.,Arm C (Chemotherapy + Hormonal Therapy),8.0,intervention,EXPERIMENTAL,intervention,unresolved,,intervention,True,,,"3. N Engl J Med. 2015 Nov 19;373(21):2005-14. doi: 10.1056/NEJMoa1510764. Epub
2015  Sep 27.

Prospective Validation of a 21-Gene Expression Assay in Breast Cancer.

VG, Atkins JN, Berenberg JL, Sledge GW.

BACKGROUND: Prior studies with the use of a prospective-retrospective design 
including archival tumor samples have shown that gene-expression assays provide 
clinically useful prognostic information. However, a prospectively conducted 
study in a uniformly treated population provides the highest level of evidence 
supporting the clinical validity and usefulness of a biomarker.
METHODS: We performed a prospective trial involving women with 
hormone-receptor-positive, human epidermal growth factor receptor type 2 
(HER2)-negative, axillary node-negative breast cancer with tumors of 1.1 to 5.0 
cm in the greatest dimension (or 0.6 to 1.0 cm in the greatest dimension and 
intermediate or high tumor grade) who met established guidelines for the 
consideration of adjuvant chemotherapy on the basis of clinicopathologic 
features. A reverse-transcriptase-polymerase-chain-reaction assay of 21 genes 
was performed on the paraffin-embedded tumor tissue, and the results were used 
to calculate a score indicating the risk of breast-cancer recurrence; patients 
were assigned to receive endocrine therapy without chemotherapy if they had a 
recurrence score of 0 to 10, indicating a very low risk of recurrence (on a 
scale of 0 to 100, with higher scores indicating a greater risk of recurrence).
RESULTS: Of the 10,253 eligible women enrolled, 1626 women (15.9%) who had a 
recurrence score of 0 to 10 were assigned to receive endocrine therapy alone 
without chemotherapy. At 5 years, in this patient population, the rate of 
invasive disease-free survival was 93.8% (95% confidence interval [CI], 92.4 to 
94.9), the rate of freedom from recurrence of breast cancer at a distant site 
was 99.3% (95% CI, 98.7 to 99.6), the rate of freedom from recurrence of breast 
cancer at a distant or local-regional site was 98.7% (95% CI, 97.9 to 99.2), and 
the rate of overall survival was 98.0% (95% CI, 97.1 to 98.6).
CONCLUSIONS: Among patients with hormone-receptor-positive, HER2-negative, 
axillary node-negative breast cancer who met established guidelines for the 
recommendation of adjuvant chemotherapy on the basis of clinicopathologic 
features, those with tumors that had a favorable gene-expression profile had 
very low rates of recurrence at 5 years with endocrine therapy alone. (Funded by 
the National Cancer Institute and others; ClinicalTrials.gov number, 
NCT00310180.)."
